#{"t_start": 1788113425.5972943, "env_id": "None"}
r,l,t
1327.571389,1291,332.204003
1347.710105,1326,334.224488
1460.842853,1386,336.213551
1219.10806,1071,337.887355
976.469089,895,339.34071
1649.454796,1532,342.147627
1347.684679,1250,344.110975
1009.61618,1069,345.939913
1466.910069,1227,349.597712
924.627135,865,351.167804
976.166653,963,352.725819
648.122464,608,354.005379
1420.501435,1317,356.043478
1228.386172,993,357.700083
887.810174,950,359.2925
1148.648448,1111,361.005374
1815.945647,1525,363.109719
1356.100603,1287,365.688189
1135.018241,1089,367.51402
988.344335,834,368.970097
1233.487801,1050,370.667202
1173.537798,1030,372.280063
1313.364835,1186,374.119836
812.825818,883,375.789449
1059.81266,936,377.42598
913.113739,994,378.36959
998.021577,1032,380.098486
1235.511566,1120,382.469732
945.785245,966,384.066189
940.374223,911,384.939714
778.661686,897,386.455322
1171.181077,1025,388.051351
1034.566619,852,389.466423
629.203921,667,390.735251
749.377062,794,392.274378
727.740699,813,393.044033
1116.436297,1049,394.687757
920.780759,804,396.094056
934.703569,916,397.613358
907.42475,891,399.13162
822.229783,838,400.544378
715.391225,796,401.975416
1017.978284,1094,403.674863
555.54426,541,404.20491
786.778695,854,405.703039
1188.304009,1019,407.335173
2144.594499,1719,410.304506
1236.704472,1016,411.998322
928.824887,937,413.753421
789.260504,841,414.527232
1248.897389,1116,416.315524
947.762827,960,417.844665
619.083279,627,419.111269
889.458542,901,421.184846
932.255691,897,422.896437
672.79501,769,423.610791
667.578746,748,425.286742
736.562941,804,426.577948
1446.663695,1348,428.40994
